2023-01-11 22:08:06 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-password
2023-01-11 22:08:06 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 22:08:06 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@type="submit"]
2023-01-11 22:08:06 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:07 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:07 INFO  CustomListener:20 - Test execution has started for : verifySubscription
2023-01-11 22:08:07 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()='Subscribe / unsubscribe to newsletter']
2023-01-11 22:08:07 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()='Subscribe / unsubscribe to newsletter']
2023-01-11 22:08:07 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //a[text()='Subscribe / unsubscribe to newsletter']]
2023-01-11 22:08:07 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //a[text()='Subscribe / unsubscribe to newsletter']]
2023-01-11 22:08:07 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@value="1"]
2023-01-11 22:08:07 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@value="1"]
2023-01-11 22:08:07 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //input[@value="1"]]
2023-01-11 22:08:07 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //input[@value="1"]]
2023-01-11 22:08:07 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: input.btn-primary
2023-01-11 22:08:07 INFO  WebDriverEvent:89 - Elelement FoundBy.cssSelector: input.btn-primary
2023-01-11 22:08:08 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: div.alert-success
2023-01-11 22:08:08 INFO  WebDriverEvent:89 - Elelement FoundBy.cssSelector: div.alert-success
2023-01-11 22:08:08 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> css selector: div.alert-success]
2023-01-11 22:08:08 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> css selector: div.alert-success]
2023-01-11 22:08:08 INFO  CustomListener:25 - Test execution has passed for : verifySubscription
2023-01-11 22:08:09 INFO  WebDriverEvent:40 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:08:13 INFO  WebDriverEvent:45 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:08:13 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:13 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:13 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:13 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:13 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:13 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:13 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:13 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:13 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Login"]
2023-01-11 22:08:13 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()="Login"]
2023-01-11 22:08:13 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //a[text()="Login"]]
2023-01-11 22:08:13 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //a[text()="Login"]]
2023-01-11 22:08:13 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@name="email"]
2023-01-11 22:08:13 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@name="email"]
2023-01-11 22:08:13 INFO  WebDriverEvent:84 - Finding elementBy.id: input-password
2023-01-11 22:08:13 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-password
2023-01-11 22:08:14 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 22:08:14 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@type="submit"]
2023-01-11 22:08:14 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:14 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:14 INFO  CustomListener:20 - Test execution has started for : verifyUserIsAbleToChangePhoneNum
2023-01-11 22:08:14 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: div.list-group a:first-of-type
2023-01-11 22:08:14 INFO  WebDriverEvent:89 - Elelement FoundBy.cssSelector: div.list-group a:first-of-type
2023-01-11 22:08:14 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> css selector: div.list-group a:first-of-type]
2023-01-11 22:08:25 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> css selector: div.list-group a:first-of-type]
2023-01-11 22:08:25 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Edit your account information"]
2023-01-11 22:08:25 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()="Edit your account information"]
2023-01-11 22:08:25 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 22:08:26 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 22:08:26 INFO  WebDriverEvent:84 - Finding elementBy.id: input-telephone
2023-01-11 22:08:26 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-telephone
2023-01-11 22:08:26 INFO  WebDriverEvent:84 - Finding elementBy.id: input-telephone
2023-01-11 22:08:26 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-telephone
2023-01-11 22:08:26 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: input[type='submit']
2023-01-11 22:08:26 INFO  WebDriverEvent:89 - Elelement FoundBy.cssSelector: input[type='submit']
2023-01-11 22:08:26 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> css selector: input[type='submit']]
2023-01-11 22:08:27 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> css selector: input[type='submit']]
2023-01-11 22:08:27 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: div.alert-success
2023-01-11 22:08:27 INFO  WebDriverEvent:89 - Elelement FoundBy.cssSelector: div.alert-success
2023-01-11 22:08:27 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> css selector: div.alert-success]
2023-01-11 22:08:27 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (16af2cfe97cc24eeb8536197f606f7aa)] -> css selector: div.alert-success]
2023-01-11 22:08:27 INFO  CustomListener:25 - Test execution has passed for : verifyUserIsAbleToChangePhoneNum
2023-01-11 22:08:29 INFO  WebDriverEvent:40 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:08:32 INFO  WebDriverEvent:45 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:08:32 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:32 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:32 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:32 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:32 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:32 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:32 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:32 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:32 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Login"]
2023-01-11 22:08:32 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()="Login"]
2023-01-11 22:08:32 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //a[text()="Login"]]
2023-01-11 22:08:33 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //a[text()="Login"]]
2023-01-11 22:08:33 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@name="email"]
2023-01-11 22:08:33 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@name="email"]
2023-01-11 22:08:33 INFO  WebDriverEvent:84 - Finding elementBy.id: input-password
2023-01-11 22:08:33 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-password
2023-01-11 22:08:33 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 22:08:33 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@type="submit"]
2023-01-11 22:08:33 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:34 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:34 INFO  CustomListener:20 - Test execution has started for : verifyUserIsAbleToLogout
2023-01-11 22:08:34 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: div.list-group a:last-of-type
2023-01-11 22:08:34 INFO  WebDriverEvent:89 - Elelement FoundBy.cssSelector: div.list-group a:last-of-type
2023-01-11 22:08:34 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> css selector: div.list-group a:last-of-type]
2023-01-11 22:08:35 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> css selector: div.list-group a:last-of-type]
2023-01-11 22:08:35 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()='Continue']
2023-01-11 22:08:35 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()='Continue']
2023-01-11 22:08:35 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //a[text()='Continue']]
2023-01-11 22:08:35 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (e1734b7ab30fc31cc9485472bd243a56)] -> xpath: //a[text()='Continue']]
2023-01-11 22:08:36 INFO  CustomListener:25 - Test execution has passed for : verifyUserIsAbleToLogout
2023-01-11 23:59:10 INFO  WebDriverEvent:40 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 23:59:13 INFO  WebDriverEvent:45 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 23:59:14 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:14 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:14 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:14 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:14 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:14 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:14 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:14 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:14 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Login"]
2023-01-11 23:59:14 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //a[text()="Login"]
2023-01-11 23:59:14 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //a[text()="Login"]]
2023-01-11 23:59:14 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //a[text()="Login"]]
2023-01-11 23:59:14 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@name="email"]
2023-01-11 23:59:14 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //input[@name="email"]
2023-01-11 23:59:14 INFO  WebDriverEvent:84 - Finding elementBy.id: input-password
2023-01-11 23:59:14 INFO  WebDriverEvent:89 - Element FoundBy.id: input-password
2023-01-11 23:59:15 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 23:59:15 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //input[@type="submit"]
2023-01-11 23:59:15 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //input[@type="submit"]]
2023-01-11 23:59:15 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (aa139734b9261e113f39c39d4c436270)] -> xpath: //input[@type="submit"]]
2023-01-11 23:59:15 INFO  CustomListener:20 - Test execution has started for : testSomething
2023-01-11 23:59:15 ERROR CustomListener:30 - Test execution failed and taking screen shot: testSomething
2023-01-11 23:59:17 INFO  WebDriverEvent:40 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 23:59:20 INFO  WebDriverEvent:45 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 23:59:20 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:20 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:20 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:21 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:21 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:21 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //span[text()="My Account"]
2023-01-11 23:59:21 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //span[text()="My Account"]]
2023-01-11 23:59:21 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //span[text()="My Account"]]
